Congruent,Incongruent,,,,,,# Problem 3:,Congruent,squared deviation,,median=,14.3565,,,,,,
12.079,19.278,,Notes:,,,,,12.079,3.889,,mean=,14.051,,,,,,
16.791,18.741,,The data on the left side is original data.,,,,,16.791,7.507,,sample standard deviation (Scon)=,3.559,,,,,,
9.564,21.214,,I copy and paste the original data on the right,,,,,9.564,20.134,,variance=,12.669,,,,,,
8.63,15.687,,"side, and then calculated statistical problems.",,,,,8.63,29.389,,,,,,Statistical results from data analysis :,,,
14.669,22.803,,This will help protect the original data.,,,,,14.669,0.382,,,,,,,,,
12.238,20.878,,,,,,,12.238,3.287,,,,,,Congruent,,Incongruent,
14.692,24.572,,,,,,,14.692,0.411,,,,,,,,,
8.987,17.394,,,,,,,8.987,25.645,,,,,,Mean,14.051125,Mean,22.01591667
9.401,20.762,,,,,,,9.401,21.624,,,,,,Standard Error,0.726550901,Standard Error,0.979195185
14.48,26.282,,,,,,,14.48,0.184,,,,,,Median,14.3565,Median,21.0175
22.328,24.524,,,,,,,22.328,68.507,,,,,,Mode,#N/A,Mode,#N/A
15.298,18.644,,,,,,,15.298,1.555,,,,,,Standard Deviation,3.559357958,Standard Deviation,4.797057122
15.073,17.51,,,,,,,15.073,1.044,,,,,,Sample Variance,12.66902907,Sample Variance,23.01175704
16.929,20.33,,,,,,,16.929,8.282,,,,,,Kurtosis,-0.205224823,Kurtosis,2.688900198
18.2,35.255,,,,,,,18.2,17.213,,,,,,Skewness,0.416899874,Skewness,1.547590026
12.13,22.158,,,,,,,12.13,3.691,,,,,,Range,13.698,Range,19.568
18.495,25.139,,,,,,,18.495,19.748,,,,,,Minimum,8.63,Minimum,15.687
10.639,20.429,,,,,,,10.639,11.643,,,,,,Maximum,22.328,Maximum,35.255
11.344,17.425,,,,,,,11.344,7.329,,,,,,Sum,337.227,Sum,528.382
12.369,34.288,,,,,,,12.369,2.83,,,,,,Count,24,Count,24
12.944,23.894,,,,,,,12.944,1.226,,,,,,,,,
14.233,17.96,,,,,,,14.233,0.033,,,,,,,,,
19.71,22.058,,,,,,,19.71,32.023,,,,,,,,,
16.004,21.157,,,,,,,16.004,3.814,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,Incongruent,squared deviation,,media=,21.0175,,,,,,
,,,,,,,,19.278,7.496,,mean=,22.016,,,,,,
,,,,,,,,18.741,10.725,,sample standard deviation (Sincon)=,4.797,,,,,,
,,,,,,,,21.214,0.643,,variance=,23.012,,,,,,
,,,,,,,,15.687,40.055,,,,,,,,,
,,,,,,,,22.803,0.62,,,,,,,,,
,,,,,,,,20.878,1.295,,,,,,,,,
,,,,,,,,24.572,6.534,,,,,,,,,
,,,,,,,,17.394,21.362,,,,,,,,,
,,,,,,,,20.762,1.572,,,,,,,,,
,,,,,,,,26.282,18.199,,,,,,,,,
,,,,,,,,24.524,6.29,,,,,,,,,
,,,,,,,,18.644,11.37,,,,,,,,,
,,,,,,,,17.51,20.303,,,,,,,,,
,,,,,,,,20.33,2.842,,,,,,,,,
,,,,,,,,35.255,175.273,,,,,,,,,
,,,,,,,,22.158,0.02,,,,,,,,,
,,,,,,,,25.139,9.754,,,,,,,,,
,,,,,,,,20.429,2.518,,,,,,,,,
,,,,,,,,17.425,21.077,,,,,,,,,
,,,,,,,,34.288,150.604,,,,,,,,,
,,,,,,,,23.894,3.527,,,,,,,,,
,,,,,,,,17.96,16.45,,,,,,,,,
,,,,,,,,22.058,0.002,,,,,,,,,
,,,,,,,,21.157,0.738,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,Dependent one-tailed t test,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,Congruent,Incongruent,,,,,,,,
,,,,,,,,Mean,14.051125,22.01591667,,,,,,,,
,,,,,,,,Variance,12.66902907,23.01175704,,,,,,,,
,,,,,,,,Observations,24,24,,,,,,,,
,,,,,,,,Pearson Correlation,0.351819527,,,,,,,,,
,,,,,,,,Hypothesized Mean Difference,0,,,,,,,,,
,,,,,,,,df,23,,,,,,,,,
,,,,,,,,t Stat,-8.020706944,,,critical region > 1.714,,"so if t statistical value is greater than 1.714, ",,,,
,,,,,,,,P(T<=t) one-tail,2.05E-08,,,,,then we reject the null hypothesis.,,,,
,,,,,,,,t Critical one-tail,1.713871528,,,,,"Otherwise, we failed to reject the null hypothesis.",,,,
,,,,,,,,P(T<=t) two-tail,4.10E-08,,,Conclusion:,,,,,,
,,,,,,,,t Critical two-tail,2.06865761,,,1. p-value < 0.05 so we failed to reject the null hypothesis.,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,"2. t stat < t critical (one-tail) , which means t statistical value is not in the ",,,,,,
,,,,,,,,,,,,"critical region, so we failed to reject the null hypothesis.",,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,